0	1	2	3	4	5	6	7
8	9	10	11	12	13	14	15
16	17	18	19	20	21	22	23
24	25	26	27	28	29	30	31
32	33	34	35	36	37	38	39
40	41	42	43	44	45	46	47
48	49	50	51	52	53	54	55
56	57	58	59	60	61	62	63
64	72	80	88	96	104	112	120
65	73	81	89	97	105	113	121
66	74	82	90	98	106	114	122
67	75	83	91	99	107	115	123
68	76	84	92	100	108	116	124
69	77	85	93	101	109	117	125
70	78	86	94	102	110	118	126
71	79	87	95	103	111	119	127
128	136	144	152	160	168	176	184
129	137	145	153	161	169	177	185
130	138	146	154	162	170	178	186
131	139	147	155	163	171	179	187
132	140	148	156	164	172	180	188
133	141	149	157	165	173	181	189
134	142	150	158	166	174	182	190
135	143	151	159	167	175	183	191
192	200	208	216	224	232	240	248
193	201	209	217	225	233	241	249
194	202	210	218	226	234	242	250
195	203	211	219	227	235	243	251
196	204	212	220	228	236	244	252
197	205	213	221	229	237	245	253
198	206	214	222	230	238	246	254
199	207	215	223	231	239	247	255
